0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:41 +0530] "GET /SmartCol/pages/charts/morris.html HTTP/1.1" 200 35999
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:42 +0530] "GET /SmartCol/pages/charts/flot.html HTTP/1.1" 200 40829
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:42 +0530] "GET /SmartCol/bower_components/Flot/jquery.flot.js HTTP/1.1" 200 122971
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:42 +0530] "GET /SmartCol/bower_components/Flot/jquery.flot.resize.js HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:42 +0530] "GET /SmartCol/bower_components/Flot/jquery.flot.pie.js HTTP/1.1" 200 23809
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:42 +0530] "GET /SmartCol/bower_components/Flot/jquery.flot.categories.js HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:42 +0530] "GET /SmartCol/pages/charts/inline.html HTTP/1.1" 200 51695
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:06:42 +0530] "GET /SmartCol/bower_components/jquery-knob/js/jquery.knob.js HTTP/1.1" 200 26225
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:09:27 +0530] "GET /SmartCol/pages/examples/login.html HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:09:27 +0530] "GET /SmartCol/plugins/iCheck/square/blue.css HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:09:27 +0530] "GET /SmartCol/plugins/iCheck/icheck.min.js HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:09:27 +0530] "GET /SmartCol/plugins/iCheck/square/blue.png HTTP/1.1" 200 2185
